Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2023,Jaguar,F-Type,96 km,Coupe,8 Cylinder Engine,8 Speed Automatic,AWD,Santorini Black Metallic,null,2,2,Gas,15.2L/100km,9.8L/100km,120616
2023,Jaguar,F-Type,90 km,Coupe,8 Cylinder Engine,8 Speed Automatic,AWD,British Racing Green Metallic,null,2,2,Gas,15.2L/100km,9.8L/100km,123231
2011,Jaguar,XF,146000 km,Sedan,5,Automatic,RWD,Polaris White,Beige,5,null,Gas,13.1L/100km,8.2L/100km,10995
2009,Jaguar,XF,149000 km,Sedan,8 Cylinder Engine,Automatic,RWD,Ebony,Black,5,4,Gas,13.3L/100km,8.0L/100km,14500
2013,Jaguar,XF,175398 km,Sedan,3.0,Automatic,AWD,British Racing Green,Red,null,4,Gas,13.1L/100km,7.7L/100km,14995
2019,Jaguar,XF,35777 km,Sedan,4 Cylinder Engine,Automatic,AWD,Fuji White,Black,null,4,Diesel,7.8L/100km,5.8L/100km,43888
2001,Jaguar,XK,140427 km,Convertible,4.0L 8cyl,5 Speed Automatic,RWD,Anthracite,Black,4,2,Gas,13.8L/100km,9.8L/100km,15888
2017,Jaguar,XF,111680 km,Sedan,2.0,8 Speed Automatic,AWD,Blue,Black,null,4,Diesel,7.8L/100km,5.8L/100km,20995
2008,Jaguar,S-Type,77735 km,Sedan,V6 Cylinder Engine,6 Speed Automatic,RWD,Porcelain,Cream,5,4,Gas,12.4L/100km,7.8L/100km,24000
2015,Jaguar,XF,31523 km,Sedan,V6 Cylinder Engine,8 Speed Automatic,AWD,null,null,5,4,Gas,null,null,26999
2017,Jaguar,F-Pace,158947 km,SUV,V6 Cylinder Engine,Automatic,null,Black,Black,5,null,Gas,13.3L/100km,10.0L/100km,27880
2015,Jaguar,XF,70184 km,Sedan,3.0L 6cyl,8 Speed Automatic,AWD,null,null,5,4,Gas,null,null,27888
2017,Jaguar,XF,101569 km,Sedan,180HP 2.0L 4 Cylinder Engine,Automatic,AWD,Black,null,null,4,Diesel,7.8L/100km,5.8L/100km,28000
2018,Jaguar,F-Pace,108567 km,SUV,2.0,Automatic,AWD,Black,Black,5,4,Gas,10.7L/100km,8.8L/100km,29888
2018,Jaguar,XE,62892 km,Sedan,2.0,8 Speed Automatic,AWD,White,Black,5,4,Diesel,7.8L/100km,5.8L/100km,29888
2020,Jaguar,I-Pace,23323 km,SUV,Electric Motor,1 Speed Automatic,AWD,Fuji White,null,5,4,Electric,null,null,83888
2018,Jaguar,F-Pace,57580 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Black,Black,5,4,Gas,10.7L/100km,8.8L/100km,30880
2017,Jaguar,F-Pace,158397 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,Black,Black,5,4,Gas,13.3L/100km,10.0L/100km,30880
2017,Jaguar,F-Pace,71264 km,SUV,null,8 Speed Automatic,AWD,null,null,5,4,Gas,null,null,32900
2017,Jaguar,F-Pace,90107 km,SUV,V6 Cylinder Engine,Automatic,AWD,Tan,Black,5,4,Gas,13.3L/100km,10.0L/100km,32990
2017,Jaguar,F-Pace,101782 km,SUV,4 Cylinder Engine,Automatic,AWD,Black,Red,null,4,Diesel,8.9L/100km,7.2L/100km,34850
2017,Jaguar,F-Pace,78940 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,Grey,White,5,4,Gas,13.3L/100km,10.0L/100km,37888
2019,Jaguar,F-Pace,85825 km,SUV,2.0,8 Speed Automatic,AWD,Black,Black,5,4,Diesel,8.9L/100km,7.2L/100km,37888
2019,Jaguar,F-Pace,83866 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Blue,White,5,4,Gas,null,null,40898
2019,Jaguar,E-Pace,47250 km,SUV,2,Automatic,AWD,Red,Tan,5,4,Gas,11.0L/100km,8.4L/100km,41990
2017,Jaguar,F-Pace,101326 km,SUV,V6 Cylinder Engine 3.0L,Automatic,AWD,Grey,null,null,4,Gas,13.3L/100km,10.0L/100km,35922
2019,Jaguar,F-Pace,69461 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Dark Blue,Beige,5,4,Gas,10.9L/100km,8.7L/100km,42888
2019,Jaguar,F-Pace,73255 km,SUV,4 Cylinder Engine,Automatic,AWD,Firenze Red Metallic,Black,5,4,Gas,10.7L/100km,8.8L/100km,42989
2018,Jaguar,F-Pace,54271 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Grey,Black,5,4,Diesel,8.9L/100km,7.2L/100km,42995
2019,Jaguar,F-Pace,93000 km,SUV,2.0,8 Speed Automatic,AWD,Blue,Beige,5,4,Gas,null,null,43888
