Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2021,Toyota,Corolla,66000 km,Sedan,4 Cylinder Engine,CVT,FWD,Silver,Black,5,4,Gas,7.9L - 8.1L/100km,6.0L - 6.3L/100km,26850
2018,Toyota,RAV4,84477 km,SUV,4 Cylinder Engine,Automatic,FWD,Ruby Flare Pearl,null,null,4,Gas,10.0L/100km,7.8L/100km,26900
2015,Toyota,Highlander,113131 km,SUV,V6 Cylinder Engine,6 Speed Automatic,AWD,Blizzard Pearl,null,8,4,Gas,13.0L/100km,9.8L/100km,26973
2018,Toyota,RAV4,92461 km,SUV,4 Cylinder Engine,6 Speed Automatic,AWD,Alpine White,Black,5,4,Gas,10.5L/100km,8.3L/100km,26995
2018,Toyota,RAV4,72209 km,SUV,4 Cylinder Engine,6 Speed Automatic,FWD,Magnetic Grey Metallic,Black,5,4,Gas,10.0L/100km,7.8L/100km,26995
2018,Toyota,RAV4,143612 km,SUV,4 Cylinder Engine,Automatic,4WD,Alpine White,Black,5,null,Regular Unleaded,6.9L/100km,7.8L/100km,26998
2017,Toyota,Highlander,141000 km,SUV,6 Cylinder,Automatic,AWD,Celestial Silver Metallic,Black,8,4,Gas,11.7L/100km,8.8L/100km,26999
2019,Toyota,Camry,70529 km,Sedan,2.5L L4 DOHC 16V,8 Speed Automatic,FWD,Red,null,null,2,Gas,8.4L - 8.5L/100km,6.1L - 6.2L/100km,26999
2015,Toyota,Sienna,171008 km,Minivan,6 Cylinder,Automatic,AWD,Blizzard Pearl,Grey,7,4,Gas,14.4L/100km,10.2L/100km,26999
2018,Toyota,RAV4,43150 km,SUV,4 cyl,6 Speed Automatic,4WD,Black,null,null,null,Gas,10.5L/100km,8.3L/100km,30798
2019,Toyota,RAV4,95713 km,SUV,4 Cylinder Engine,Automatic,FWD,Ruby Flare Pearl,Dark Grey,null,4,Gas,8.8L/100km,6.7L/100km,27195
2018,Toyota,RAV4,67466 km,SUV,I-4 cyl,Automatic,4WD,Alpine White,Black,null,null,Regular Unleaded,10.5L/100km,8.3L/100km,27200
2018,Toyota,RAV4,67479 km,SUV,4 Cylinder Engine,Automatic,FWD,Magnetic Grey Metallic,null,null,4,Gas,10.0L/100km,7.8L/100km,27300
2018,Toyota,RAV4,119563 km,SUV,4 Cylinder Engine 2.5L,Automatic,AWD,Black,Black,null,4,Gas,10.5L/100km,8.3L/100km,27388
2017,Toyota,RAV4,52605 km,SUV,2.5,6 Speed Automatic,AWD,Black,Black,null,4,Gas,10.5L/100km,8.3L/100km,27480
2018,Toyota,RAV4,108154 km,SUV,4 Cylinder Engine,6 Speed Automatic,AWD,Silver Sky Metallic,Black,5,4,Gas,10.5L/100km,8.3L/100km,27590
2018,Toyota,RAV4,114611 km,SUV,4 Cylinder Engine,Automatic,AWD,Black,null,5,4,Gas,10.5L/100km,8.3L/100km,27590
2019,Toyota,C-HR,46700 km,SUV,2.0L I4 DOHC 16V,CVT,FWD,Blue Flame w/Black Roof,null,null,4,Gas,8.7L/100km,7.5L/100km,27688
2019,Toyota,C-HR,19408 km,SUV,I-4 cyl,CVT,FWD,Blue,null,null,null,Gas,8.7L/100km,7.5L/100km,27888
2019,Toyota,Tacoma,64933 km,Truck,V6,Automatic,4x4,Grey,Grey,null,null,Gas,13.0L/100km,10.5L/100km,39998
2020,Toyota,Camry,93435 km,Sedan,2.5,8 Speed Automatic,FWD,Midnight Black Metallic,Black,null,4,Gas,8.5L/100km,6.1L/100km,27980
2020,Toyota,Corolla,72181 km,Sedan,2.0,Automatic,FWD,Celestite,Black,5,4,Gas,7.6L - 7.7L/100km,5.8L - 6.1L/100km,27990
2020,Toyota,Camry,53178 km,Sedan,4 Cylinder Engine,Automatic,FWD,Midnight Black Metallic,Black,null,null,Gas,8.5L/100km,6.1L/100km,27995
2019,Toyota,C-HR,39196 km,SUV,Regular Unleaded I-4 2.0 L/121,CVT,FWD,Magnetic Grey Metallic,Black,null,4,Gas,8.7L/100km,7.5L/100km,27997
2018,Toyota,Camry,119000 km,Sedan,V6 Cylinder Engine,8 Speed Automatic,FWD,Midnight Black Metallic,Red,5,4,Gas,10.5L - 10.7L/100km,7.1L - 7.4L/100km,28450
2018,Toyota,Camry,117000 km,Sedan,4 Cylinder Engine,8 Speed Automatic,FWD,Midnight Black Metallic,Black,5,4,Gas,8.5L/100km,6.1L/100km,28450
2016,Toyota,Tacoma,157884 km,Truck Extended Cab,2.7,Automatic,RWD,Black,Grey,null,4,Gas,12.0L/100km,10.0L/100km,28480
2018,Toyota,RAV4,62343 km,SUV,4 Cylinder Engine,Automatic,AWD,Black,Black,5,4,Gas,10.5L/100km,8.3L/100km,28590
2020,Toyota,Camry,89000 km,Sedan,4 Cylinder Engine,8 Speed Automatic,FWD,Midnight Black Metallic,Black,5,4,Gas,8.5L/100km,6.1L/100km,28850
2019,Toyota,RAV4,80336 km,SUV,4 Cylinder Engine 2.5L,Automatic,AWD,null,null,null,4,Gas,9.2L/100km,7.1L/100km,35650
2018,Toyota,RAV4,105000 km,SUV,2.5,Automatic,AWD,Alpine White,Black,5,4,Gas,10.7L/100km,8.4L/100km,28880
2018,Toyota,Camry,78067 km,Sedan,4 Cylinder Engine,Automatic,FWD,Ruby Flare Pearl,Black,5,null,Regular Unleaded,8.5L/100km,6.1L/100km,28880
2020,Toyota,C-HR,53794 km,Hatchback,2.0L 4cyl,CVT,FWD,Silver,Black,5,4,Gas,8.7L/100km,7.5L/100km,28888
2019,Toyota,RAV4,42543 km,SUV,4 Cylinder Engine,Automatic,FWD,Magnetic Grey Metallic,Black,null,null,Gas,9.2L/100km,7.1L/100km,28888
2019,Toyota,RAV4,50772 km,SUV,4 Cylinder Engine,8 Speed Automatic,FWD,null,null,null,null,Gas,8.8L/100km,6.7L/100km,28900
2019,Toyota,RAV4,113244 km,SUV,4 Cylinder Engine,Automatic,AWD,Magnetic Grey Metallic,Black,5,4,Gas,9.2L/100km,7.1L/100km,28990
2020,Toyota,Camry,76536 km,Sedan,2.5,Automatic,FWD,Pre-Dawn Grey Mica,Black,5,4,Gas,8.5L/100km,6.1L/100km,28990
2022,Toyota,Corolla,4437 km,Sedan,1.8,Automatic,FWD,White,Black,5,4,Gas,7.9L - 8.1L/100km,6.0L - 6.3L/100km,28990
2021,Toyota,Camry,71116 km,Sedan,2.5,Automatic,FWD,Supersonic Red,Black,5,4,Gas,8.5L/100km,6.1L/100km,28990
2022,Toyota,RAV4,20684 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Magnetic Grey Metallic,Black,5,4,Gas,5.8L/100km,6.3L/100km,41995
2019,Toyota,RAV4,71963 km,SUV,4 Cylinder Engine,8 Speed Automatic,FWD,Midnight Black Metallic,Black,5,4,Gas,8.8L/100km,6.7L/100km,28995
2018,Toyota,Camry,49470 km,Sedan,2.5L L4 DOHC 16V,Automatic,FWD,Midnight Black Metallic,Red,null,4,Gas,8.5L/100km,6.1L/100km,28998
2020,Toyota,Corolla,64960 km,Compact,2.0L 4cyl,null,FWD,Blue,Black,5,4,Gas,7.6L - 8.2L/100km,5.8L - 6.5L/100km,28999
2018,Toyota,RAV4,130686 km,SUV,I-4 cyl,6 Speed Automatic,4WD,Alpine White,Black,null,null,Regular Unleaded,10.7L/100km,8.4L/100km,29071
2020,Toyota,Camry,81535 km,Sedan,2.5L 4cyl,8 Speed Automatic,FWD,Super White,Black,null,null,Gas,8.5L/100km,6.1L/100km,29299
2019,Toyota,RAV4,72663 km,SUV,4 Cylinder Engine,Automatic,FWD,Super White,Black,null,null,Gas,8.8L/100km,6.7L/100km,29307
2017,Toyota,RAV4,117047 km,SUV,2.5,6 Speed Automatic,AWD,Black Currant Metallic,Black,5,5,Gas,10.7L/100km,8.4L/100km,29488
2020,Toyota,Camry,72758 km,Sedan,2.5L 4cyl,8 Speed Automatic,FWD,Super White,Black,null,2,Gas,8.5L/100km,6.1L/100km,29492
2016,Toyota,RAV4,109191 km,SUV,4 Cylinder Engine,Automatic,AWD,Black Sand Pearl,Black,5,4,Gasoline Hybrid,6.9L/100km,7.6L/100km,29590
2018,Toyota,Tundra,157991 km,Truck,8 Cylinder Engine 5.7L,Automatic,4x4,Midnight Black Metallic,Black,null,4,Gas,18.0L/100km,14.2L/100km,38884
2018,Toyota,RAV4,144978 km,SUV,4 Cylinder Engine,Automatic,4WD,Teal,Black,null,null,Regular Unleaded,null,null,29985
2020,Toyota,Camry,70925 km,Sedan,2.5,Automatic,FWD,Celestial Silver Metallic,Black,5,4,Gas,8.5L/100km,6.1L/100km,29990
2018,Toyota,Camry,30483 km,Sedan,4 Cylinder Engine,8 Speed Automatic,FWD,GREY,Black,5,4,Gas,8.4L - 8.5L/100km,6.0L - 6.1L/100km,29995
2018,Toyota,RAV4,26155 km,SUV,4 Cylinder Engine,Automatic,FWD,Alpine White,Black,null,null,Gas,10.0L/100km,7.8L/100km,29999
2018,Toyota,RAV4,95537 km,SUV,4 Cylinder Engine,6 Speed Automatic,AWD,null,null,5,4,Gas,10.7L/100km,8.4L/100km,30395
2018,Toyota,RAV4,43150 km,SUV,4 cyl,6 Speed Automatic,4WD,Black,null,null,null,Gas,10.5L/100km,8.3L/100km,30798
2021,Toyota,Camry,67989 km,Sedan,2.5,Automatic,FWD,Midnight Black Metallic,Black,5,4,Gas,8.5L/100km,6.1L/100km,30990
2020,Toyota,C-HR,24549 km,SUV,4 Cylinder Engine,CVT,FWD,Magnetic Grey Metallic,Black,5,4,Gas,8.7L/100km,7.5L/100km,30995
2021,Toyota,Camry,62544 km,Sedan,4 Cylinder Engine,8 Speed Automatic,FWD,Midnight Black Metallic,null,5,4,Gas,8.5L/100km,6.1L/100km,30995
2011,Toyota,Sienna,199516 km,Minivan,V6 Cylinder Engine 3.5L,Automatic,FWD,White,Grey,null,4,Gas,11.5L/100km,8.1L/100km,13995
2017,Toyota,Sienna,132700 km,Minivan,3.5L V6 DOHC 24V,Automatic,AWD,Silver Sky Metallic,null,null,4,Gas,13.4L/100km,9.6L/100km,30995
2019,Toyota,RAV4,66960 km,SUV,4 Cylinder Engine,Automatic,AWD,Magnetic Grey Metallic,Grey,5,4,Gas,9.2L/100km,7.1L/100km,31490
2021,Toyota,Camry,53963 km,Sedan,2.5,Automatic,FWD,Super White,Black,5,4,Gas,8.5L/100km,6.1L/100km,31490
2018,Toyota,RAV4,42896 km,SUV,4 Cylinder Engine,Automatic,AWD,Alpine White,null,null,4,Gas,10.5L/100km,8.3L/100km,31531
2018,Toyota,RAV4,46865 km,SUV,2.5L 4cyl,6 Speed Automatic,AWD,Alpine White,null,null,2,Gas,10.7L/100km,8.4L/100km,31590
2021,Toyota,Camry,58328 km,Sedan,4 Cylinder Engine,Automatic,FWD,Pre-Dawn Grey Mica,null,null,4,Gas,8.5L/100km,6.1L/100km,31915
2019,Toyota,C-HR,71259 km,SUV,: 2.0L I-4 DOHC 16-Valve VVT-i,CVT,FWD,Blue,null,null,null,Gas,8.7L/100km,7.5L/100km,25979
2012,Toyota,Sienna,106337 km,Minivan,3.5L 6cyl,6 Speed Automatic,AWD,Silver Sky Metallic,Black,7,4,Gas,12.8L/100km,9.0L/100km,21799
2021,Toyota,Camry,23000 km,Sedan,2.5L 4cyl,8 Speed Automatic,AWD,Pre-Dawn Grey Mica,Black,null,2,Gas,9.3L/100km,6.8L/100km,35900
2019,Toyota,RAV4,112722 km,SUV,4 Cylinder Engine,CVT,AWD,Ruby Flare Pearl,Black,5,4,Gasoline Hybrid,5.8L/100km,6.3L/100km,35995
2022,Toyota,RAV4,12494 km,SUV,I-4 cyl,CVT,AWD,Blizzard Pearl,null,5,4,Gasoline Hybrid,5.8L/100km,6.3L/100km,55598
2021,Toyota,RAV4,71109 km,SUV,2.5L 4-Cylinder DOHC,CVT,AWD,Super White,null,null,4,Gasoline Hybrid,5.8L/100km,6.3L/100km,45995
2018,Toyota,RAV4,42265 km,SUV,2.5L 4cyl,6 Speed Automatic,AWD,Blizzard Pearl,Black,5,4,Gas,10.7L/100km,8.4L/100km,38999
2018,Toyota,Corolla,81625 km,Sedan,1.8,Automatic,FWD,Alpine White,Black,null,4,Gas,8.3L - 8.5L/100km,6.6L - 6.7L/100km,20998
2021,Toyota,RAV4,16247 km,SUV,4 Cylinder Engine,Automatic,AWD,Blueprint,Black,5,4,Gas,8.8L/100km,7.1L/100km,43999
2018,Toyota,Highlander,166000 km,SUV,6 Cylinder,Automatic,AWD,Midnight Black Metallic,Black,8,4,Gas,12.0L/100km,8.9L/100km,31995
