Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2018,BMW,3,107515 km,Sedan,3.0,Automatic,AWD,Black,Black,null,4,Gas,11.1L/100km,7.5L/100km,38498
2019,BMW,4,64592 km,Hatchback,4 Cylinder Engine,8 Speed Automatic,AWD,Alpine White Non-Metallic,null,5,4,Gas,10.5L/100km,7.4L/100km,38510
2019,BMW,4,56277 km,Hatchback,4 Cylinder Engine,8 Speed Automatic,AWD,Black,Red,5,4,Gas,10.2L/100km,7.2L/100km,38880
2018,BMW,5,51000 km,Sedan,4 Cylinder Engine,8 Speed Automatic,AWD,White,Black,5,4,Gas,10.2L/100km,7.2L/100km,38880
2020,BMW,X3,25115 km,SUV,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Toronto Red Metallic,Black,5,4,Gas,null,null,79999
2019,BMW,5,74103 km,Sedan,2.0,Automatic,AWD,Metallic Black,Brown,5,4,Gas,10.2L/100km,7.2L/100km,38888
2018,BMW,X5,92605 km,SUV,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Glacier Silver Metallic,Black,5,4,Gas,13.0L/100km,9.8L/100km,38898
2017,BMW,X4,79000 km,SUV,I-6 cyl,8 Speed Automatic,AWD,Black,Black,null,null,Gas,12.4L/100km,9.0L/100km,38900
2020,BMW,330I,82918 km,Sedan,4 Cylinder Engine,Automatic,AWD,Mineral White Metallic,null,null,null,Gas,9.5L/100km,6.9L/100km,39500
2019,BMW,X3,59863 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Grey,Black,5,4,Gas,10.8L/100km,8.0L/100km,39888
2017,BMW,X6,139875 km,SUV,Straight 6 Cylinder,Automatic,AWD,White,Black,5,4,Gas,13.0L/100km,9.8L/100km,39888
2018,BMW,7,53123 km,Sedan,8 Cylinder,Automatic,AWD,Black,Black,null,4,Gas,14.3L/100km,9.4L/100km,56800
2018,BMW,X2,51852 km,SUV,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,AWD,Gray,Black,5,4,Gas,null,null,30997
2018,BMW,5,85678 km,Sedan,8 Cylinder,Automatic,AWD,Dark Graphite Metallic,Black,null,4,Gas,14.3L/100km,9.4L/100km,48800
2021,BMW,X5,30412 km,SUV,3.0L I6 DOHC 24V TwinPower Turbo,8 Speed Automatic,AWD,Dark Graphite Metallic,null,null,null,Gasoline Fuel,null,null,68994
2016,BMW,428i,108862 km,Sedan,2.0L 4cyl,8 Speed Automatic,AWD,White,Red,5,4,Premium Unleaded,10.6L/100km,7.2L/100km,26999
2013,BMW,3,176350 km,Sedan,2.0L L4 DOHC 16V,8 Speed Automatic,AWD,White,Black,null,4,Gas,9.0L/100km,6.0L/100km,10998
2011,BMW,X5,195000 km,null,null,Automatic,AWD,Black,null,null,4 doors,Diesel,null,null,14995
2023,BMW,230,90 km,Coupe,2.0L 4cyl,8 Speed Automatic,AWD,Brooklyn Grey Metallic,Black,null,null,Premium Unleaded,9.6L/100km,6.9L/100km,64639
2018,BMW,3,125418 km,Sedan,4 Cylinder Engine,Automatic,AWD,Mineral Gray Metallic,Black,5,4,Gas,10.2L/100km,7.1L/100km,28990
2019,BMW,X3,65562 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Jet Black Non-Metallic,null,5,4,Gas,10.8L/100km,8.0L/100km,39980
2019,BMW,4,22112 km,Coupe,4 Cylinder Engine,8 Speed Automatic,AWD,Estoril Blue Metallic,null,4,2,Gas,10.2L/100km,7.2L/100km,39990
2017,BMW,X5,61061 km,SUV,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Glacier Silver Metallic,Black,7,4,Gas,13.0L/100km,9.7L/100km,39990
2019,BMW,X3,67078 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Jet Black Non-Metallic,null,5,4,Gas,10.8L/100km,8.0L/100km,39990
2020,BMW,M550,54710 km,Sedan,4.4L 8cyl,8 Speed Automatic,AWD,Carbon Black Metallic,null,5,2,Premium Unleaded,13.6L/100km,9.3L/100km,72980
2018,BMW,5,54907 km,Sedan,4 Cylinder Engine,8 Speed Automatic,AWD,Black,Black,5,4,Gas,10.2L/100km,7.2L/100km,39998
2019,BMW,X4,89550 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Black Sapphire Metallic,null,5,4,Gas,null,null,40500
2020,BMW,4,42861 km,Hatchback,4 Cylinder Engine,8 Speed Automatic,AWD,Mineral Grey Metallic,Black,5,4,Gas,10.2L/100km,7.2L/100km,40500
2019,BMW,X3,35503 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Alpine White Non-Metallic,null,5,4,Gas,10.8L/100km,8.0L/100km,40990
2019,BMW,X3,49127 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Black Sapphire Metallic,null,5,4,Gas,10.8L/100km,8.0L/100km,40990
2019,BMW,X4,101972 km,SUV,4 Cylinder Engine,Automatic,AWD,Black,Black,5,null,Gas,10.8L/100km,8.0L/100km,40990
2016,BMW,7,75745 km,Sedan,4.4,Automatic,AWD,Black,Black,null,4,Gas,14.3L/100km,9.3L/100km,40998
2018,BMW,X5,93766 km,SUV,Straight 6 Cylinder Engine,Automatic,AWD,Black,Black,5,null,Diesel,10.3L/100km,8.0L/100km,41980
2020,BMW,2,12000 km,Sedan,4 Cylinder Engine,8 Speed Automatic,AWD,Black Sapphire Metallic,Black,5,4,Gas,null,null,41988
