Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2021,Jeep,Grand,76100 km,SUV,Regular Unleaded V-6 3.6 L/220,Automatic,4x4,Diamond Black Crystal Pearl,Black,null,4,Gas,12.7L/100km,9.6L/100km,39990
2022,Jeep,Grand,14398 km,SUV,6.4L V8,8 Speed Automatic,4WD,Diamond Black Crystal Pearl,Black,null,null,Premium Unleaded,18.6L/100km,12.8L/100km,94888
2019,Jeep,Wrangler,46601 km,SUV,6cyl,8 Speed Automatic,4x4,Granite Crystal Metallic,Grey,null,null,Gas,12.9L - 13.8L/100km,10.1L - 10.2L/100km,40177
2021,Jeep,Cherokee,27741 km,SUV,Regular Unleaded V-6 3.2 L/198,Automatic,4x4,Hydro Blue Pearl,Black,null,4,Gas,12.9L/100km,9.7L/100km,40962
2022,Jeep,Cherokee,6136 km,SUV,3.2L V6,9 Speed Automatic,4x4,Slate Blue Pearlcoat,Black,null,4,Gas,12.2L/100km,8.6L/100km,40986
2019,Jeep,WRANGLER,137000 km,SUV,4 Cylinder Engine,null,4x4,Black,Black,5,4,Gas,12.9L - 13.8L/100km,10.1L - 10.2L/100km,40995
2021,Jeep,Grand,54948 km,SUV,V6 Cylinder Engine,Automatic,4WD,Diamond Black Crystal Pearl,Black,5,null,Gas,12.7L/100km,9.6L/100km,40998
2022,Jeep,Compass,14453 km,SUV,Regular Unleaded I-4 2.4 L/144,Automatic,4x4,Sting-Grey,null,null,4,Gas,10.8L/100km,7.8L/100km,41148
2019,Jeep,Grand,88042 km,SUV,3.6L 6cyl,8 Speed Automatic,4x4,Diamond Black Crystal Pearl,Black,5,4,Gas,12.7L - 16.7L/100km,9.6L - 10.9L/100km,41888
2019,Jeep,Wrangler,14100 km,SUV,V6 Cylinder Engine,Manual,4WD,Grey,Black,null,null,Gas,12.9L - 13.8L/100km,10.1L - 10.2L/100km,41995
2021,Jeep,Wrangler,5709 km,SUV,3.6L V6 Cylinder Engine,Manual,4x4,Bright White,Black,4,2,Gas,13.7L/100km,9.6L/100km,41995
2018,Jeep,Grand,76100 km,SUV,3.6L,Automatic,4x4,White,Black,null,null,Gas,12.7L/100km,9.6L/100km,39988
2021,Jeep,Wrangler,34157 km,SUV,3.6L V6,Automatic,4x4,Sting-Grey,null,null,null,Gas,null,null,42495
2019,Jeep,WRANGLER,127787 km,SUV,V6 Cylinder Engine,null,4x4,Billet Metallic,null,null,4,Gas,12.9L - 13.8L/100km,10.1L - 10.2L/100km,42888
2019,Jeep,WRANGLER,81591 km,SUV,2.0L 4cyl,8 Speed Automatic,4x4,null,null,null,2,Premium Unleaded,10.9L - 13.8L/100km,10.0L - 10.1L/100km,42990
2020,Jeep,Grand,125691 km,SUV,8cyl,8 Speed Automatic,4x4,Slate Blue Pearl,Dark Grey,null,null,Gas,16.7L/100km,10.9L/100km,43997
2019,Jeep,Wrangler,78633 km,SUV,2.0L I4 DOHC,null,4WD,Billet Metallic,Black,null,null,Gasoline Fuel,10.9L - 13.8L/100km,10.0L - 10.1L/100km,43997
2022,Jeep,Cherokee,10856 km,SUV,Regular Unleaded V-6 3.2 L/198,Automatic,4x4,Gray,Black,5,4,Gas,12.2L/100km,8.6L/100km,43998
2021,Jeep,Grand,53048 km,SUV,3.6L V6,Automatic,4x4,Granite Crystal Metallic,null,null,null,Gas,12.7L/100km,9.6L/100km,44495
2021,Jeep,Grand,27753 km,SUV,V6 Cylinder Engine,8 Speed Automatic,4x4,null,null,5,4,Gas,12.7L/100km,9.6L/100km,45395
2020,Jeep,Gladiator,106461 km,Truck,3.6L V6,Automatic,4x4,Bright White,null,null,null,Gas,13.7L - 14.3L/100km,10.4L - 10.7L/100km,45995
2022,Jeep,Wrangler,21146 km,SUV,3.6,8 Speed Automatic,4x4,Black,Black,5,4,Gas,11.5L/100km,9.9L - 10.2L/100km,62885
2020,Jeep,WRANGLER,56528 km,SUV,V6 Cylinder Engine,Manual,4x4,Sting-Grey,Black,5,4,Gas,null,null,45995
