Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2021,Ferrari,F8,900 km,Coupe,3.9L,Automatic,RWD,Rosso Corsa,null,2,2,Gas,15.7L/100km,12.4L/100km,509899
2021,Ferrari,812,5027 km,Convertible,12 Cylinder Engine,7 Speed Automatic,RWD,Rosso Corsa,null,null,null,Gas,19.6L/100km,15.7L/100km,829987
2021,Ferrari,SF90,947 km,Coupe,8 Cylinder Engine,8 Speed Automatic,null,Blu Torrice,null,null,null,Gasoline Hybrid,null,null,839987
2021,Ferrari,SF90,1707 km,Coupe,8 Cylinder Engine,8 Speed Automatic,null,Blu Abu Dhabi Metallic,Orange,null,null,Gasoline Hybrid,null,null,919988
1988,Ferrari,328,67000 km,Convertible,null,null,null,Red,Tan,null,2,null,null,null,109888
2007,Ferrari,F430,null,Convertible,8 Cylinder Engine,Automatic,RWD,Modena Yellow,Black,2,2,Gas,18.1L/100km,13.8L/100km,179910
1988,Ferrari,328,37414 km,null,null,null,null,Giallo,null,null,null,null,null,null,189987
2016,Ferrari,California,37211 km,Convertible,8 Cylinder Engine,Automatic,RWD,Red,Black,4,2,Gas,null,null,219999
2021,Ferrari,Roma,5257 km,Coupe,8 Cylinder Engine,8 Speed Automatic,RWD,Nero Daytona Metallic,null,4,2,Gas,13.8L/100km,10.7L/100km,339999
2019,Ferrari,488,11710 km,Convertible,8 Cylinder Engine,Automatic,RWD,Bianco Avus,Black,2,2,Gas,15.7L/100km,10.7L/100km,419910
2022,Ferrari,F8,6008 km,Coupe,8 Cylinder Engine,7 Speed Automatic,RWD,Bianco Avus,null,null,null,Gas,15.7L/100km,12.4L/100km,499987
2022,Ferrari,F8,6000 km,Coupe,3.9L,Automatic,RWD,Rosso Corsa,null,2,2,Gas,null,null,559899
2022,Ferrari,F8,327 km,Roadster,8 Cylinder Engine,7 Speed Automatic,RWD,Bianco Avus,null,null,null,Gas,15.7L/100km,13.1L/100km,599987
2021,Ferrari,F8,2455 km,Roadster,8 Cylinder Engine,7 Speed Automatic,RWD,Rosso Corsa,null,null,null,Gas,15.7L/100km,13.1L/100km,629987
2022,Ferrari,F8,656 km,Roadster,8 Cylinder Engine,7 Speed Automatic,RWD,Rosso Scuderia,null,null,null,Gas,15.7L/100km,13.1L/100km,659987
2021,Ferrari,812,2227 km,Convertible,12 Cylinder Engine,7 Speed Automatic,RWD,Rosso Fuocco,null,null,null,Gas,19.6L/100km,15.7L/100km,859987
2001,Ferrari,360,54334 km,Convertible,null,Automatic,RWD,Red,Black,2,2,Gas,null,null,99986
1998,Ferrari,456,29288 km,Coupe,null,null,null,Silver,Blue,null,null,null,null,null,109500
2010,Ferrari,California,60000 km,null,null,null,null,null,null,null,null,null,null,null,116900
1999,Ferrari,360,73685 km,null,null,null,null,Red,Tan,2,2,null,null,null,119900
1995,Ferrari,355,56875 km,null,null,null,null,Silver,Black,null,null,null,null,null,139500
