Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2017,Dodge,Grand,95390 km,Minivan,V6 Cylinder Engine 3.6L,Automatic,FWD,Granite Crystal Metallic,Black,null,4,Flexible,13.7L/100km,9.4L/100km,20995
2016,Dodge,Challenger,148828 km,Coupe,3.6,Automatic,RWD,Jazz Blue Pearl,Black,null,2,Regular Unleaded,12.4L/100km,7.8L/100km,20998
2019,Dodge,Challenger,25522 km,Coupe,V8,Automatic,RWD,F8 Green,Brown,null,null,Gas,17.6L/100km,10.7L/100km,109998
2018,Dodge,Journey,117610 km,SUV,V6 Cylinder Engine,Automatic,AWD,Granite Crystal Metallic,null,null,4,Gas,14.5L/100km,10.0L/100km,22888
2019,Dodge,Grand,88242 km,Minivan,3.6L V6,Automatic,FWD,Billet Metallic,null,null,null,Gas,13.7L/100km,9.4L/100km,23495
2018,Dodge,Charger,148150 km,Sedan,V6 Cylinder Engine,Automatic,RWD,Pitch Black,Black,null,null,Regular Unleaded,12.4L/100km,7.8L/100km,24900
2020,Dodge,Grand,121770 km,Minivan,V-6 cyl,6 Speed Automatic,null,Brilliant Black Crystal Pearl,Black,null,null,Gas,13.7L/100km,9.4L/100km,26999
2019,Dodge,Charger,118300 km,Sedan,3.6,Automatic,RWD,Pitch Black,Black,null,4,Gas,12.4L/100km,7.8L/100km,28888
2019,Dodge,Grand,61818 km,Minivan,3.6L 6cyl,6 Speed Automatic,FWD,null,null,null,2,Gas,13.7L/100km,9.4L/100km,29590
2020,Dodge,Grand,67060 km,Van Regular,3.6L V6 DOHC 24V,Automatic,FWD,Bright White,Black,null,null,Gas,null,null,29998
2017,Dodge,Challenger,148300 km,Coupe,3.6,Automatic,AWD,Gray,Black,null,2,Gas,12.8L/100km,8.7L/100km,30388
2020,Dodge,Grand,79361 km,Minivan,Regular Unleaded V-6 3.6 L/220,Automatic,FWD,Billet Silver Metallic,Black,7,4,Gas,13.7L/100km,9.4L/100km,30950
2019,Dodge,Grand,101330 km,Minivan,3.6,Automatic,FWD,Granite Crystal Metallic,Black,6,4,Other,13.7L/100km,9.4L/100km,26985
2020,Dodge,Grand,79954 km,Minivan,Regular Unleaded V-6 3.6 L/220,Automatic,FWD,Granite Crystal Metallic,Black,7,4,Gas,13.7L/100km,9.4L/100km,30994
2020,Dodge,Grand,18500 km,Minivan,V6 Cylinder Engine,Automatic,FWD,Brilliant Black Crystal Pearl,Black,null,null,Gas,13.7L/100km,9.4L/100km,32995
2019,Dodge,Challenger,103587 km,Coupe,V-6 cyl,8 Speed Automatic,AWD,Grey,Black,null,null,Gas,12.8L/100km,8.7L/100km,33999
2018,Dodge,Challenger,98122 km,Coupe,V6 Cylinder Engine,8 Speed Automatic,AWD,Go Mango,Black,5,2,Gas,12.8L/100km,8.7L/100km,36088
2020,Dodge,Durango,88123 km,SUV,V6 Cylinder Engine,Automatic,AWD,White Knuckle,Black,7,4,Gas,12.7L/100km,9.6L/100km,37395
2019,Dodge,Durango,75581 km,SUV,Regular Unleaded V-6 3.6 L/220,Automatic,AWD,Gray,Black,7,4,Gas,12.7L/100km,9.6L/100km,38965
2020,Dodge,Durango,91855 km,SUV,V6 Cylinder Engine,Automatic,4WD,Grey,Black,6,4,Gas,12.7L/100km,9.6L/100km,38985
2019,Dodge,Durango,104581 km,SUV,8 Cylinder Engine,Automatic,4WD,DB Black,Black,null,null,Gas,16.7L/100km,10.9L/100km,39999
2021,Dodge,Durango,89540 km,SUV,Regular Unleaded V-6 3.6 L/220,Automatic,AWD,White,Black,6,4,Gas,12.7L/100km,9.6L/100km,40994
2017,Dodge,Grand,165782 km,Minivan,V6 Cylinder Engine,6 Speed Automatic,FWD,Granite Crystal Metallic,Black,7,4,Flexible,13.7L/100km,9.4L/100km,18999
2021,Dodge,Durango,81495 km,SUV,3.6L V6,Automatic,AWD,DB Black,null,null,null,Gas,12.7L/100km,9.6L/100km,40995
