Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2022,Ram,1500,5 km,Truck,3.6L Pentastar VVT V6,8 Speed Automatic,4WD,Bright White,null,null,null,Regular Unleaded,14.5L/100km,10.2L/100km,44818
2019,Ram,1500,110660 km,Truck,8 Cylinder Engine,Automatic,4x4,Bright White,null,null,4,Gas,16.1L/100km,11.0L/100km,44995
2022,Ram,1500,0 km,Truck,8 Cylinder Engine,8 Speed Automatic,4x4,Bright White,null,null,4,Gas,14.5L - 16.2L/100km,10.2L - 11.6L/100km,50625
2022,Ram,1500,30 km,Truck,3.6L Pentastar VVT V6,8 Speed Automatic,4WD,Diamond Black Crystal Pearlcoat,null,null,null,Regular Unleaded,14.5L/100km,10.2L/100km,49063
2022,Ram,1500,58 km,Crew Cab,5.7L 8Cyl,8 Speed Automatic,4x4,Diamond Black Crystal Pearlcoat,Black,5,4,Gas,16.1L/100km,11.0L/100km,67188
2022,Ram,1500,75 km,Crew Cab,5.7L 8Cyl,8 Speed Automatic,4x4,Diamond Black Crystal Pearlcoat,Black,5,4,Gas,16.1L/100km,11.0L/100km,67188
2022,Ram,1500,11531 km,Truck,HEMI 5.7L V8 Multi Displacement VVT,8 Speed Automatic,4WD,Granite Crystal Metallic,Black,null,null,Regular Unleaded,14.5L - 16.2L/100km,10.2L - 11.6L/100km,46998
2022,Ram,3500,4000 km,Truck,null,Automatic,4X4,White,null,null,4 doors,Diesel,null,null,89900
2020,Ram,1500,93391 km,Crew Cab,5.7L HEMI V8,Automatic,4x4,Diamond Black Crystal Pearl,Black,5,4,Gas,16.1L/100km,11.0L/100km,60995
2022,Ram,3500,19456 km,Regular Cab,Straight 6 Cylinder Engine,Automatic,4x4,White,Black,null,4,Diesel,null,null,69980
2021,Ram,1500,33924 km,Regular Cab,V6 Cylinder Engine,Automatic,4x4,Black,Black,null,4,Gas,14.5L/100km,10.2L/100km,36980
